,acceleration__number_crossing_m__m_1,"acceleration__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",acceleration__range_count__max_1000000000000.0__min_0,acceleration__approximate_entropy__m_2__r_0.7,"acceleration__fft_coefficient__attr_""abs""__coeff_30","acceleration__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","acceleration__fft_coefficient__attr_""abs""__coeff_0","acceleration__agg_autocorrelation__f_agg_""var""__maxlag_40","acceleration__fft_coefficient__attr_""abs""__coeff_36","acceleration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4"
0,6.0,-0.3592578397212543,110.0,0.1900425207586225,5.438371131046178,-6.541606539434573,19.680000000000007,0.1892545308637941,2.73056583052406,0.0546746987951807
1,6.0,-0.5118636363636364,47.0,0.210537298094142,2.568691493756762,-6.665749575829009,22.485000000000007,0.2244115934940379,1.1507016585198684,0.0115903614457831
2,25.0,-1.357131868131868,155.0,0.235948969500122,9.613082870665789,-9.732022167650182,111.167,0.4041052618391711,16.85347812340708,0.533233082706767
3,10.0,-0.5477236842105263,160.0,0.1634355034699008,7.5040380698726175,-7.223667451318518,38.273,0.3565704688934397,4.241966886121065,0.11922
4,10.0,-0.2511790683605566,199.0,0.2521492595901642,6.145882186130055,-7.077419143574243,41.25899999999999,0.4007488240387576,2.895415778692417,0.0249599999999999
5,12.0,-0.2377299663299663,181.0,0.2530696803521604,1.120538287243704,-6.095925679299817,49.392,0.4133976707802015,2.170474681490214,0.0753737373737373
6,10.0,-0.2352616330114136,247.0,0.2322073299866944,2.570042399821032,-5.602155034068611,58.068,0.3880820667955469,2.4677042767862507,0.0219029850746268
7,4.0,-0.1651724137931035,63.0,0.1159511241036239,0.3815607623268346,-1.7182974219210985,29.189000000000007,0.4240382223807547,0.1985851749900723,0.1437017543859649
8,5.0,-0.1961720430107526,68.0,0.0996497700051575,1.285203826576932,-3.9392106170449854,26.890000000000004,0.4561582943013569,0.6329782255975605,0.1776727272727273
9,2.0,-1.7235416666666663,39.0,0.2499627261882306,1.109988158848901,-3.3105023953597943,30.272,0.3125782808600552,1.0744082762657143,0.1046399999999999
